Main Heading,Detail,Date,Artical_Link,Source,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
Putin claims Russian forces halting Ukrainian counteroffensive,"Claims by pro-Moscow commentators that Ukraine’s counteroffensive has failed are premature, says war monitor think tank.",10-Jun-23,https://www.aljazeera.com/news/2023/6/10/putin-claims-russian-forces-thwarting-ukrainian-counteroffensive,Source: Al Jazeera and news agencies,News,Russia-Ukraine war,,,
Russian man killed in shark attack off Egypt’s Red Sea resort,"Coastline to remain off limits with a ban on swimming, snorkelling and other water sports activities until Sunday.",08-Jun-23,https://www.aljazeera.com/news/2023/6/8/russian-man-killed-in-shark-attack-off-egypts-red-sea-resort,Source: News Agencies,News,,,,
"Russia-Ukraine war: List of key events, day 471","As the war enters it 471st day, these are the main developments.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/russia-ukraine-war-list-of-key-events-day-471,Source: Al Jazeera and news agencies,News,Russia-Ukraine war,,,
Four children found in Colombian jungle 40 days after plane crash,"Colombia’s military found the four children aged 13, 9 , 4, and 12-month-old, who survived a plane crash on May 1.",10-Jun-23,https://www.aljazeera.com/news/2023/6/10/four-children-found-in-colombian-jungle-40-days-after-plane-crash,"Source: Al Jazeera, Reuters",News,,,,
Trump indictment details plot to hide sensitive documents,Trump has been charged with 37 felony counts for keeping and hiding documents with sensitive national security content.,10-Jun-23,https://www.aljazeera.com/news/2023/6/10/trump-indictment-details-plot-to-hide-sensitive-documents,Source: Al Jazeera,News,Donald Trump,,,
Colombian gang leaders announce talks to address urban violence,Colombia’s government seeks to draw urban criminal networks into disarmament talks as it pursues ‘total peace’.,10-Jun-23,https://www.aljazeera.com/news/2023/6/10/colombian-gang-leaders-announce-talks-to-address-urban-violence,Source: Al Jazeera,News,Crime,,,
"Russia-Ukraine war: List of key events, day 472","As the war enters its 472nd day, these are the main developments.",10-Jun-23,https://www.aljazeera.com/news/2023/6/10/russia-ukraine-war-list-of-key-events-day-472,Source: Al Jazeera and news agencies,News,Weapons,,,
Discarded mortar detonates killing more than 20 in Somalia: Media,Local official says unexploded mortar detonated near to where mostly children – aged between 10 and 15 – were playing.,10-Jun-23,https://www.aljazeera.com/news/2023/6/10/discarded-mortar-detonates-killing-more-than-20-in-somalia-media,Source: News Agencies,News,Weapons,,,
US says Iran is helping Russia build drone manufacturing facility,US intelligence officials say Iran and Russia continue to strengthen their military cooperation and weapons assistance.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/us-says-iran-is-helping-russia-build-drone-manufacturing-facility,Source: Al Jazeera and news agencies,News,Russia-Ukraine war,,,
"Who is Hafize Gaye Erkan, Turkey’s new central bank chief?",Erkan becomes the first woman to lead the central bank after her appointment by President Recep Tayyip Erdogan.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/who-is-hafize-gaye-erkan-turkeys-new-central-bank-chief,Source: Al Jazeera,News,Business and Economy,,,
